Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,wfef
1514516400,2017-12-29 03-AM,BTCUSD,14901,14901,14733,14828,1319.88,19553158.76,24917
1514520000,2017-12-29 04-AM,BTCUSD,14828,14999,14740,14767,1406.38,20912492.32,24916
1514523600,2017-12-29 05-AM,BTCUSD,14767,15000,14735,14905,1452.68,21621741.62,24915
1514527200,2017-12-29 06-AM,BTCUSD,14905,15131,14848,14852.91,1512.54,22660338.11,24914
1514530800,2017-12-29 07-AM,BTCUSD,14852.91,14895.95,14366,14516,2510.3,36629361.92,24913
1514534400,2017-12-29 08-AM,BTCUSD,14516,14673,14333,14492,1992.99,28914633.88,24912
1514538000,2017-12-29 09-AM,BTCUSD,14492,14541.14,14115,14174,2530.62,36248010.81,24911
1514541600,2017-12-29 10-AM,BTCUSD,14174,14385,13826,13848,3950.69,55789190.11,24910
1514545200,2017-12-29 11-AM,BTCUSD,13848,14249,13844,14232,2122.92,29896446.91,24909
1514548800,2017-12-29 12-PM,BTCUSD,14232,14316,13937,14111,2452.64,34530689.47,24908
1514552400,2017-12-29 01-PM,BTCUSD,14111,14249,13846,14218,1864.69,26251122.29,24907
1514556000,2017-12-29 02-PM,BTCUSD,14218,14437,14218,14412,1960.81,28121653.13,24906
1514559600,2017-12-29 03-PM,BTCUSD,14412,14550,14175,14474,2675.4,38497196.35,24905
1514563200,2017-12-29 04-PM,BTCUSD,14474,14810,14438,14642,2152.64,31512324.55,24904
1514566800,2017-12-29 05-PM,BTCUSD,14642,14789,14486,14570,1568.15,22948739.17,24903
1514570400,2017-12-29 06-PM,BTCUSD,14570,14587,14433.02,14491,1607.14,23324666.8,24902
1514574000,2017-12-29 07-PM,BTCUSD,14481,14679,14413,14637,1372.87,19943874.94,24901
1514577600,2017-12-29 08-PM,BTCUSD,14636,14647,14256,14293,1992.19,28732974.41,24900
1514581200,2017-12-29 09-PM,BTCUSD,14293,14445,14054,14200,1963.8,27964594.86,24899
1514584800,2017-12-29 10-PM,BTCUSD,14200,14375,14113,14373,1205.35,17178768.24,24898
1514588400,2017-12-29 11-PM,BTCUSD,14373,14554,14282,14307,1170.32,16899089.82,24897
1514592000,2017-12-30 12-AM,BTCUSD,14307,14417,13953,14235,2550.02,36032778.14,24896
1514595600,2017-12-30 01-AM,BTCUSD,14235,14290,13454,13583,3208.01,44747957.96,24895
1514599200,2017-12-30 02-AM,BTCUSD,13583,13702,12823,13187,8089.21,106842735,24894
1514602800,2017-12-30 03-AM,BTCUSD,13187,13399,12888.64,13290,3032.92,39952681.2,24893
1514606400,2017-12-30 04-AM,BTCUSD,13290,13385,12752,12759,2759,36263689.63,24892
1514610000,2017-12-30 05-AM,BTCUSD,12759,13249,12758,13233,1880.1,24523097.29,24891
1514613600,2017-12-30 06-AM,BTCUSD,13233,13370,13119,13249,1737.33,23050377.53,24890
1514617200,2017-12-30 07-AM,BTCUSD,13249,13499,13201,13466,2166.67,29073475.1,24889
1514620800,2017-12-30 08-AM,BTCUSD,13466,13468,13186,13251,1525.1,20370278.06,24888
1514624400,2017-12-30 09-AM,BTCUSD,13251,13251,12966.68,13181,1819.18,23929939.62,24887
1514628000,2017-12-30 10-AM,BTCUSD,13181,13240,12837,12910,3079.27,40028266.91,24886
1514631600,2017-12-30 11-AM,BTCUSD,12910,13249,12814.2,13155,1431.54,18732156.31,24885
1514635200,2017-12-30 12-PM,BTCUSD,13155,13160,12399,12540,4611.19,58237595.53,24884
1514638800,2017-12-30 01-PM,BTCUSD,12540,12544,11863,12354.36,6339.77,77174073.53,24883
1514642400,2017-12-30 02-PM,BTCUSD,12354.36,12582.48,12000,12287,5845.38,71582249.52,24882
1514646000,2017-12-30 03-PM,BTCUSD,12287,12456,12154,12266,2961.76,36401545.34,24881
1514649600,2017-12-30 04-PM,BTCUSD,12266,12278,11651,11875,4626.76,55255641.27,24880
1514653200,2017-12-30 05-PM,BTCUSD,11875,12591,11861,12558,4132.99,50635741.82,24879
1514656800,2017-12-30 06-PM,BTCUSD,12558,12566,12201,12492,2259.55,28017645.64,24878
1514660400,2017-12-30 07-PM,BTCUSD,12492,13031,12492,13009,3224.57,41359675.65,24877
1514664000,2017-12-30 08-PM,BTCUSD,13009,13014,12550,12746,2064.63,26369001.17,24876
