Datetime,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-03-11 20:30:00+00:00,10.048969268798828,1015.4575623093111,32.97226818629656,684.1202525826237,331.3373097266874,buy,10.048969268798828,
2021-03-11 21:00:00+00:00,10.07962131500244,1016.4680386565831,32.59300669154294,687.9428736884897,328.52516496809335,sell,,10.07962131500244
2021-03-11 21:30:00+00:00,10.032970428466797,1014.9469668793595,33.17022378307287,682.1510925581633,332.79587432119615,buy,10.032970428466797,
2021-03-11 22:00:00+00:00,10.032567977905273,1014.9336125083848,33.17520335280581,682.1011296905297,332.83248281785524,buy,10.032567977905273,
2021-03-11 22:30:00+00:00,9.99215030670166,1013.5922483469553,33.67529611311676,677.1036279620065,336.48862038494883,buy,9.99215030670166,
2021-03-11 23:00:00+00:00,10.03992748260498,1015.2008621363825,33.084143306291566,683.0384625171042,332.1623996192783,sell,,10.03992748260498
2021-03-11 23:30:00+00:00,10.02830410003662,1014.8161682571986,33.22796083213265,681.5960724084665,333.22009584873206,buy,10.02830410003662,
2021-03-12 00:00:00+00:00,9.972264289855957,1012.9533881752491,33.92134821755046,674.6807386816016,338.27264949364746,buy,9.972264289855957,
2021-03-12 00:30:00+00:00,10.00617504119873,1014.1034766593945,33.50176636787401,678.8789381931025,335.22453846629196,sell,,10.00617504119873
2021-03-12 01:00:00+00:00,10.0454740524292,1015.4198187208126,33.015514923432065,683.7633202298869,331.6564984909258,sell,,10.0454740524292
2021-03-12 01:30:00+00:00,10.01591682434082,1014.443605318486,33.38123010052364,680.099981137459,334.34362418102694,buy,10.01591682434082,
2021-03-12 02:00:00+00:00,10.006270408630373,1014.1214766648945,33.50058637504628,678.905550548503,335.2159261163915,buy,10.006270408630373,
2021-03-12 02:30:00+00:00,10.024446487426758,1014.7302732402615,33.27569154201342,681.1598840452288,333.5703891950327,sell,,10.024446487426758
2021-03-12 03:00:00+00:00,10.038701057434082,1015.2045153868331,33.099318014055896,682.9303566387832,332.2741587480499,sell,,10.038701057434082
2021-03-12 03:30:00+00:00,10.05151653289795,1015.6286191925526,32.940750577868485,684.5241201530399,331.10449903951275,sell,,10.05151653289795
2021-03-12 04:00:00+00:00,9.9188871383667,1011.2580796593218,34.581790203218674,668.2452055909205,343.01287406840123,buy,9.9188871383667,
2021-03-12 04:30:00+00:00,9.927816390991213,1011.566814357642,34.47130747476034,669.3420029908184,342.2248113668236,sell,,9.927816390991213
2021-03-12 05:00:00+00:00,9.9844388961792,1013.5183163905008,33.77071033316524,676.3367225884449,337.18159380205583,sell,,9.9844388961792
2021-03-12 05:30:00+00:00,10.012521743774414,1014.4665201481771,33.423237845190044,679.8156244758679,334.6508956723092,sell,,10.012521743774414
2021-03-12 06:00:00+00:00,10.044195175170898,1015.5249519635034,33.03133862725163,683.7517398942265,331.77321206927695,sell,,10.044195175170898
2021-03-12 06:30:00+00:00,9.987616539001463,1013.6553846856874,33.731392972146025,676.759166353524,336.89621833216336,buy,9.987616539001463,
2021-03-12 07:00:00+00:00,9.911640167236328,1011.0916640745913,34.671457858196206,667.4406497106522,343.65101436393917,buy,9.911640167236328,
2021-03-12 07:30:00+00:00,9.950234413146973,1012.4295452678336,34.193926560751024,672.1919604824285,340.23758478540515,sell,,9.950234413146973
2021-03-12 08:00:00+00:00,10.004112243652344,1014.2715063918442,33.527289612737334,678.8607378805806,335.4107685112636,sell,,10.004112243652344
2021-03-12 08:30:00+00:00,10.132784843444824,1018.584743299233,31.935207889808765,694.9921528211191,323.59259047811383,sell,,10.132784843444824
2021-03-12 09:00:00+00:00,10.148982048034668,1019.1019026971779,31.73479790795082,697.0260084313769,322.075894265801,sell,,10.148982048034668
2021-03-12 09:30:00+00:00,10.117904663085938,1018.1152791083393,32.11932217071606,693.1350395420917,324.9802395662476,buy,10.117904663085938,
2021-03-12 10:00:00+00:00,9.912064552307127,1011.5013097860042,34.66620689011293,667.8876293075707,343.6136804784335,buy,9.912064552307127,
2021-03-12 10:30:00+00:00,10.024812698364258,1015.4091610896936,33.27116036955502,681.8720101276648,333.5371509620288,sell,,10.024812698364258
2021-03-12 11:00:00+00:00,10.042731285095217,1016.0052219342938,33.049451517156925,684.0984612277043,331.9067607065894,sell,,10.042731285095217
2021-03-12 11:30:00+00:00,10.007246971130373,1014.8320454503822,33.48850324849056,679.7043227492354,335.1277227011468,buy,10.007246971130373,
2021-03-12 12:00:00+00:00,9.982780456542967,1014.0123962912651,33.791230408439105,676.6819617673588,337.3304345239063,buy,9.982780456542967,
2021-03-12 12:30:00+00:00,9.960490226745604,1013.2589072902801,34.067030132059315,673.9345866056553,339.3243206846248,buy,9.960490226745604,
2021-03-12 13:00:00+00:00,9.678515434265137,1003.6494867929932,37.55593852560034,640.1637561246578,363.4857306683355,buy,9.678515434265137,
2021-03-12 13:30:00+00:00,9.707022666931152,1004.7199314758041,37.20321506954184,643.5874795130468,361.1324519627573,sell,,9.707022666931152
2021-03-12 14:00:00+00:00,9.725542068481444,1005.4088013277382,36.97407226232923,645.8159060973824,359.5928952303558,sell,,9.725542068481444
2021-03-12 14:30:00+00:00,9.763304710388184,1006.8048118872307,36.50683050234163,650.3775016823756,356.427310204855,sell,,9.763304710388184
2021-03-12 15:00:00+00:00,9.81728458404541,1008.7751181373799,35.83893096200231,656.9341336954468,351.840984441933,sell,,9.81728458404541
2021-03-12 15:30:00+00:00,9.884647369384766,1011.1889164138495,35.005443028150694,665.1724560714915,346.016460342358,sell,,9.884647369384766
2021-03-12 16:00:00+00:00,9.940680503845217,1013.1500365138252,34.3121382422308,672.0640328440395,341.0860036697856,sell,,9.940680503845217
2021-03-12 16:30:00+00:00,9.936305046081543,1012.9998514089261,34.36627631316607,671.5260466633815,341.4738047455446,buy,9.936305046081543,
2021-03-12 17:00:00+00:00,9.92407512664795,1012.5794044450157,34.517598593391355,670.0241628127224,342.55524163229336,buy,9.92407512664795,
2021-03-12 17:30:00+00:00,9.881109237670898,1011.0957998344255,35.04922076205867,664.770620789281,346.3251790451445,buy,9.881109237670898,
2021-03-12 18:00:00+00:00,9.86528778076172,1010.5410769747656,35.24498157217542,662.8391909376114,347.70188603715417,buy,9.86528778076172,
2021-03-12 18:30:00+00:00,9.848243713378906,1009.940151445988,35.455869890343436,660.7621036960328,349.17804774995517,buy,9.848243713378906,
2021-03-12 19:00:00+00:00,9.766034126281738,1007.0243456316712,36.47305910761263,650.8272056968352,356.1971399348359,buy,9.766034126281738,
2021-03-12 19:30:00+00:00,9.754509925842283,1006.6038836979927,36.61564944091289,649.4361677854465,357.1677159125462,buy,9.754509925842283,
2021-03-12 20:00:00+00:00,9.65359592437744,1002.9076466282133,37.86427065148048,637.381277787557,365.5263688406563,buy,9.65359592437744,
2021-03-12 20:30:00+00:00,9.718960762023926,1005.3822455131722,37.05550356736934,645.2412603248719,360.14098518830025,sell,,9.718960762023926
2021-03-12 21:00:00+00:00,9.738665580749512,1006.1122987744922,36.811693449308294,647.6155268106112,358.496771963881,sell,,9.738665580749512
2021-03-12 21:30:00+00:00,9.791014671325684,1008.039040356517,36.163971786322776,653.9570620232226,354.0819783332944,sell,,9.791014671325684
2021-03-12 22:00:00+00:00,9.811159133911133,1008.7674218615936,35.91472190132599,656.4023700375209,352.3650518240727,sell,,9.811159133911133
2021-03-12 22:30:00+00:00,9.86186695098877,1010.5882696364974,35.28730791490533,662.5895339211281,347.99873571536926,sell,,9.86186695098877
2021-03-12 23:00:00+00:00,9.871993064880373,1010.9455310914625,35.16201627645927,663.8263502630458,347.1191808284167,sell,,9.871993064880373
2021-03-12 23:30:00+00:00,9.89891242980957,1011.8919053844622,34.82893970098213,667.1232812613222,344.76862412314006,sell,,9.89891242980957
2021-03-13 00:00:00+00:00,9.680818557739258,1004.2933146941498,37.52744169881119,640.9969606718204,363.2963540223294,buy,9.680818557739258,
2021-03-13 00:30:00+00:00,9.7052640914917,1005.2105462604627,37.224974137284775,643.9323414591655,361.27820480129714,sell,,9.7052640914917
2021-03-13 01:00:00+00:00,9.56235122680664,999.8889276789049,38.99325238924672,627.0217528574105,372.86717482149436,buy,9.56235122680664,
2021-03-13 01:30:00+00:00,9.584075927734377,1000.7359156141466,38.72445002309479,629.5978463330509,371.1380692810957,sell,,9.584075927734377
2021-03-13 02:00:00+00:00,9.589570999145508,1000.9486766320647,38.656458836362276,630.2498200452229,370.69885658684177,sell,,9.589570999145508
2021-03-13 02:30:00+00:00,9.676687240600586,1004.3157605088661,37.5785589881075,640.6797982284897,363.63596228037636,sell,,9.676687240600586
2021-03-13 03:00:00+00:00,9.68063259124756,1004.4639974722473,37.529742684825194,641.1523472963938,363.3116501758535,sell,,9.68063259124756
2021-03-13 03:30:00+00:00,9.644030570983887,1003.0898963099476,37.98262393209957,636.7843099425951,366.3055863673525,buy,9.644030570983887,
2021-03-13 04:00:00+00:00,9.624618530273438,1002.3523448965431,38.22281147217956,634.4723653222555,367.8799795742875,buy,9.624618530273438,
2021-03-13 04:30:00+00:00,9.702739715576172,1005.3378872995233,37.2562085474342,643.8505929745451,361.4872943249782,sell,,9.702739715576172
2021-03-13 05:00:00+00:00,9.786088943481444,1008.4426589017821,36.224918415873915,653.942385313681,354.50027358810104,sell,,9.786088943481444
2021-03-13 05:30:00+00:00,9.789459228515623,1008.5647267906977,36.18321746934271,654.350594618053,354.21413217264467,sell,,9.789459228515623
2021-03-13 06:00:00+00:00,9.75129222869873,1007.1832614363395,36.65546239891974,649.745135806395,357.4381256299446,buy,9.75129222869873,
2021-03-13 06:30:00+00:00,9.764497756958008,1007.6672364080799,36.492068792067,651.3405125411844,356.3267238668956,sell,,9.764497756958008
2021-03-13 07:00:00+00:00,9.779203414916992,1008.2037873212557,36.310113898034416,653.1197974935726,355.0839898276831,sell,,9.779203414916992
2021-03-13 07:30:00+00:00,9.860300064086914,1011.1479211888905,35.30669519706457,663.0133122745775,348.13460891431293,sell,,9.860300064086914
2021-03-13 08:00:00+00:00,9.861001968383787,1011.1726988279422,35.29801044985267,663.0989483019135,348.0737505260287,sell,,9.861001968383787
2021-03-13 08:30:00+00:00,9.879227638244627,1011.8159173206903,35.07250202054938,665.3266860168884,346.48923130380194,sell,,9.879227638244627
2021-03-13 09:00:00+00:00,9.883331298828123,1011.9598178734442,35.0217269291731,665.828487975336,346.1313298981082,sell,,9.883331298828123
2021-03-13 09:30:00+00:00,9.899500846862793,1012.5260043407227,34.821659145235174,667.8089601432996,344.7170441974231,sell,,9.899500846862793
2021-03-13 10:00:00+00:00,9.936763763427734,1013.8233318485862,34.36060054766479,672.3901614369356,341.4331704116506,sell,,9.936763763427734
2021-03-13 10:30:00+00:00,10.008588790893556,1016.2908381951224,33.471900749404696,681.2843475447289,335.00649065039346,sell,,10.008588790893556
2021-03-13 11:00:00+00:00,10.002291679382324,1016.0799839708284,33.549815675818294,680.5049417917804,335.575042179048,buy,10.002291679382324,
2021-03-13 11:30:00+00:00,9.991689682006836,1015.7241578422972,33.6809954784746,679.1941028403037,336.53005500199356,buy,9.991689682006836,
2021-03-13 12:00:00+00:00,10.108134269714355,1019.6453992929446,32.240212435914756,693.7570031066037,325.8883961863409,sell,,10.108134269714355
2021-03-13 12:30:00+00:00,10.09676456451416,1019.2786955419399,32.38089118083411,692.336460899905,326.9422346420349,buy,10.09676456451416,
2021-03-13 13:00:00+00:00,10.057177543640137,1017.99633991118,32.870706203615725,687.4098116365834,330.5865282745966,buy,10.057177543640137,
2021-03-13 13:30:00+00:00,10.062738418579102,1018.1790951790058,32.80190082183208,688.1021475767348,330.07694760227105,sell,,10.062738418579102
2021-03-13 14:00:00+00:00,10.149112701416016,1021.0117935104445,31.733181317776868,698.9481599418579,322.0636335685866,sell,,10.149112701416016
2021-03-13 14:30:00+00:00,10.164356231689453,1021.4954233655458,31.54457126419601,700.865163860343,320.63025950520273,sell,,10.164356231689453
2021-03-13 15:00:00+00:00,10.164076805114746,1021.4866054599403,31.548028643181183,700.8300192806868,320.6565861792535,buy,10.164076805114746,
2021-03-13 15:30:00+00:00,10.128421783447266,1020.3613129856772,31.989192561676404,696.3612782091046,324.00003477657253,buy,10.128421783447266,
2021-03-13 16:00:00+00:00,10.113290786743164,1019.8770952797938,32.17641022372058,694.467702213772,325.4093930660219,buy,10.113290786743164,
2021-03-13 16:30:00+00:00,10.116565704345703,1019.9824498753776,32.135889270017074,694.8776146076717,325.1048352677058,sell,,10.116565704345703
2021-03-13 17:00:00+00:00,10.172558784484863,1021.7814849165068,31.44308008108483,701.9249044264062,319.8565804901005,sell,,10.172558784484863
2021-03-13 17:30:00+00:00,10.219837188720703,1023.2677646462441,30.85809863674855,707.9030206251897,315.3647440210545,sell,,10.219837188720703
2021-03-13 18:00:00+00:00,10.172775268554688,1021.8149309081125,31.44040149736594,701.9787921222785,319.836138785834,buy,10.172775268554688,
2021-03-13 18:30:00+00:00,10.134854316711426,1020.622205429078,31.9096020454475,697.2230373942307,323.3991680348473,buy,10.134854316711426,
2021-03-13 19:00:00+00:00,10.120957374572754,1020.1785855073849,32.081550600301114,695.4825793715385,324.6960061358465,buy,10.120957374572754,
2021-03-13 19:30:00+00:00,10.111949920654297,1019.8894997207121,32.193000922878156,694.3554865929906,325.5340131277215,buy,10.111949920654297,
2021-03-13 20:00:00+00:00,10.19245147705078,1022.4805787876862,31.196945377153227,704.5072267988484,317.9733519888379,sell,,10.19245147705078
2021-03-13 20:30:00+00:00,10.18508243560791,1022.2505943387198,31.288123422950207,703.5784780204972,318.6721163182226,buy,10.18508243560791,
2021-03-13 21:00:00+00:00,10.149017333984377,1021.1217321002557,31.734361310604555,699.049149076007,322.0725830242488,buy,10.149017333984377,
2021-03-13 21:30:00+00:00,10.125872611999512,1020.3869591532502,32.02073376996104,696.1490880558739,324.2378710973764,buy,10.125872611999512,
2021-03-13 22:00:00+00:00,10.07167911529541,1018.6509682741098,32.691276494234444,689.394921554781,329.2560467193288,buy,10.07167911529541,
2021-03-13 22:30:00+00:00,10.091337203979492,1019.2934935598624,32.44804457265897,691.8493341674041,327.44415939245835,sell,,10.091337203979492
2021-03-13 23:00:00+00:00,10.184568405151367,1022.3180763050102,31.294483584291555,703.5972675369063,318.7208087681039,sell,,10.184568405151367
2021-03-13 23:30:00+00:00,10.187032699584961,1022.395179596061,31.263992569623582,703.9078649697243,318.4873146263367,sell,,10.187032699584961
2021-03-14 00:00:00+00:00,10.190945625305176,1022.5174886069177,31.21557746390272,704.4012360097835,318.11625259713423,sell,,10.190945625305176
