Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-03-15 18:00:00+00:00,1781.4010009765625,1069.316667238339,6.838444910247517,0.6002672428342303,0.0,1069.316667238339,hold,,
2021-03-15 18:30:00+00:00,1787.2010498046875,1072.7982465567015,3.481579318362492,0.6002672428342303,0.0,1072.7982465567015,hold,,
2021-03-15 19:00:00+00:00,1791.48388671875,1075.3422090352828,2.5439624785813066,0.0,1075.3422090352828,0.0,sell,,1791.48388671875
2021-03-15 19:30:00+00:00,1789.845703125,1075.3422090352828,0.0,0.0,1075.3422090352828,0.0,hold,,
2021-03-15 20:00:00+00:00,1794.8804931640625,1075.3153254800568,-0.026883555226049793,0.5991013494076493,0.0,1075.3153254800568,buy,1794.8804931640625,
2021-03-15 20:30:00+00:00,1790.622314453125,1072.7642448683152,-2.551080611741554,0.5991013494076493,0.0,1072.7642448683152,hold,,
2021-03-15 21:00:00+00:00,1793.9853515625,1074.7790449386498,2.0148000703345588,0.5991013494076493,0.0,1074.7790449386498,hold,,
2021-03-15 21:30:00+00:00,1800.57763671875,1078.7284918714392,3.949446932789442,0.5991013494076493,0.0,1078.7284918714392,hold,,
2021-03-15 22:00:00+00:00,1786.6357421875,1070.3758840444682,-8.352607826971052,0.5991013494076493,0.0,1070.3758840444682,hold,,
2021-03-15 22:30:00+00:00,1787.5631103515625,1070.9314715629557,0.5555875184875276,0.5991013494076493,0.0,1070.9314715629557,hold,,
2021-03-15 23:00:00+00:00,1802.0736083984373,1079.5977399051524,8.666268342196645,0.0,1079.5977399051524,0.0,sell,,1802.0736083984373
2021-03-15 23:30:00+00:00,1791.76171875,1079.5707499616547,-0.026989943497710556,0.6025191512154884,0.0,1079.5707499616547,buy,1791.76171875,
2021-03-16 00:00:00+00:00,1772.1175537109375,1067.7347643159817,-11.835985645672963,0.6025191512154884,0.0,1067.7347643159817,hold,,
2021-03-16 00:30:00+00:00,1738.6751708984375,1047.5850882091709,-20.14967610681083,0.6025191512154884,0.0,1047.5850882091709,hold,,
2021-03-16 01:00:00+00:00,1737.6595458984375,1046.94698036735,-0.6381078418207835,0.0,1046.94698036735,0.0,sell,,1737.6595458984375
2021-03-16 01:30:00+00:00,1753.05712890625,1046.9208066928409,-0.026173674509209377,0.5971971987849736,0.0,1046.9208066928409,buy,1753.05712890625,
2021-03-16 02:00:00+00:00,1752.2657470703125,1046.4481956772497,-0.4726110155911556,0.5971971987849736,0.0,1046.4481956772497,hold,,
2021-03-16 02:30:00+00:00,1752.3565673828125,1046.5024333134675,0.05423763621774924,0.5971971987849736,0.0,1046.5024333134675,hold,,
2021-03-16 03:00:00+00:00,1740.9073486328125,1039.664991947691,-6.837441365776385,0.5971971987849736,0.0,1039.664991947691,hold,,
2021-03-16 03:30:00+00:00,1751.1019287109375,1045.7531666131363,6.0881746654451945,0.5971971987849736,0.0,1045.7531666131363,hold,,
2021-03-16 04:00:00+00:00,1758.123046875,1049.9199100590847,4.166743445948441,0.0,1049.9199100590847,0.0,sell,,1758.123046875
2021-03-16 04:30:00+00:00,1753.9334716796875,1049.893662061333,-0.026247997751625007,0.5985937773659582,0.0,1049.893662061333,buy,1753.9334716796875,
2021-03-16 05:00:00+00:00,1755.45166015625,1050.802440236272,0.908778174939016,0.5985937773659582,0.0,1050.802440236272,hold,,
2021-03-16 05:30:00+00:00,1748.6956787109375,1046.7321828243134,-4.070257411958664,0.0,1046.7321828243134,0.0,sell,,1748.6956787109375
2021-03-16 06:00:00+00:00,1742.47509765625,1046.7060145197427,-0.026168304570774126,0.6007007020804114,0.0,1046.7060145197427,buy,1742.47509765625,
2021-03-16 06:30:00+00:00,1786.4110107421875,1073.0715208983004,26.36550637855771,0.0,1073.0715208983004,0.0,sell,,1786.4110107421875
2021-03-16 07:00:00+00:00,1794.357666015625,1073.0715208983004,0.0,0.0,1073.0715208983004,0.0,hold,,
2021-03-16 07:30:00+00:00,1798.9259033203125,1073.0715208983004,0.0,0.0,1073.0715208983004,0.0,hold,,
2021-03-16 08:00:00+00:00,1812.5687255859373,1073.0715208983004,0.0,0.0,1073.0715208983004,0.0,hold,,
2021-03-16 08:30:00+00:00,1804.7349853515625,1073.0715208983004,0.0,0.0,1073.0715208983004,0.0,hold,,
2021-03-16 09:30:00+00:00,1809.3848876953125,1073.0446941102778,-0.02682678802261762,0.593043913104115,0.0,1073.0446941102778,buy,1809.3848876953125,
2021-03-16 10:00:00+00:00,1791.791748046875,1062.6111897293813,-10.433504380896466,0.593043913104115,0.0,1062.6111897293813,hold,,
2021-03-16 10:30:00+00:00,1798.564697265625,1066.6278460373242,4.016656307942867,0.593043913104115,0.0,1066.6278460373242,hold,,
2021-03-16 11:00:00+00:00,1797.16650390625,1065.7986559762041,-0.8291900611200163,0.593043913104115,0.0,1065.7986559762041,hold,,
2021-03-16 11:30:00+00:00,1789.52685546875,1061.2414772718653,-4.557178704338867,0.0,1061.2414772718653,0.0,sell,,1789.52685546875
2021-03-16 12:00:00+00:00,1781.4388427734375,1061.2414772718653,0.0,0.0,1061.2414772718653,0.0,hold,,
2021-03-16 12:30:00+00:00,1778.4444580078125,1061.2149462349334,-0.026531036931828567,0.5967096365908953,0.0,1061.2149462349334,buy,1778.4444580078125,
2021-03-16 13:00:00+00:00,1787.308837890625,1066.5044071334103,5.289460898476818,0.5967096365908953,0.0,1066.5044071334103,hold,,
